NomeCat,CodProd,NomeProd,IDProduto,Usuario,Data,Obs e campos antes das alterações
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Bianca",21/10/2015 09:46:00,"Obs=Pedido 67900 cancelado
Estoque=12
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Bianca",29/10/2015 15:09:00,"Obs=Pedido 68031 cancelado
Estoque=22
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Bianca",12/11/2015 17:13:00,"Obs=Pedido 68294 cancelado
Estoque=13
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Bianca",17/11/2015 09:40:00,"Obs=Pedido 68412 cancelado
Estoque=13
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"toninho",14/12/2015 14:29:00,"Obs=Pedido 68903 cancelado
Estoque=10
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"toninho",06/01/2016 17:02:00,"Obs=Pedido 69031 cancelado
Estoque=1
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"toninho",14/01/2016 10:39:00,"Obs=Pedido 69272 cancelado
Estoque=19
DataProdAlteracao=12/01/2016 14:55:00
ChangeFlagProdAPI=1
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"marco",27/01/2016 19:53:00,"Obs=
DescrLonga=
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Branco",05/02/2016 11:33:00,"Obs=
ImagemProd=Aminofor120.JPG
ImagemDet=Aminofor120.JPG
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Branco",11/02/2016 18:43:00,"Obs=
Descricao=Aminofor oferece uma alta concentração dos aminoácidos L-leucina, L-isoleucina e L- valina para melhorar o desempenho esportivo e recuperação muscular.
DescrLonga=Benefícios

Aminofor é ideal para quem deseja melhorar o rendimento esportivo, pois aumenta a resistência, além de reduzir a fadiga durante o treino e ainda favorecer o crescimento da musculatura, com acréscimo de ingredientes antioxidantes (colina, selênio orgânico), que favorecem ainda a recuperação muscular. As vitaminas C e B6, assim como os minerais zinco, magnésio, selênio e mais a colina potencializam a ação dos BCAA, maximizam o anabolismo, além de fornecerem energia para os treinos de longa duração. Além disso, eles possuem excelente efeito hepatoprotetor, pois induzem a produção de proteínas e peptídeos pela célula hepática (estimulam a síntese e reprodução de células hepáticas), aumentando a síntese de glutationa (o que explica seu poder antioxidante).

Recomendação de Uso

Recomendação
Dissolver 7 g (1 sachê ou dosador) em 1 copo (200 ml) de água ou suco de frutas de sua preferência ou tomar 4 tabletes. Tomar antes ou após atividade física ou conforme recomendação profissional.
DescrHTM=Aminofor120.HTML
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Matheus",09/03/2016 20:26:00,"Obs=
Descricao=
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"toninho",25/04/2016 12:08:00,"Obs=Pedido 71731 cancelado
Estoque=13
DataProdAlteracao=19/04/2016 15:02:00
ChangeFlagProdAPI=1
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"toninho",20/05/2016 16:08:00,"Obs=Pedido 72593 cancelado
Estoque=7
DataProdAlteracao=20/05/2016 15:51:00
ChangeFlagProdAPI=1
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"marco",12/08/2016 16:20:00,"Obs=
OrdemProd=50
"
"> BCAA","AF120LI","Aminofor BCAA Sabor Limão 120 Tabletes Mastigaveis Vitafor",4871246,"Branco",19/08/2016 11:56:00,"Obs=
MetaDescriptionProd=
TitleProd=
URLProd=
"
