Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","- Acessórios",5495477,"BN3B","Boné Vitafor Bordado Branco",0.3,"Agora você pode levar na cabeça o Snapback Vitafor Cap é o boné que faz a cabeça do top atleta do ringue José Aldo.
","A Vitafor mais uma vez mostrando toda sua evolução, estilo, conforto e beleza resumem bem esse produto.

O sistema de ajuste vai lhe proporcionar conforto, veste com perfeição qualquer tamanho de cabeça. 


Características do produto:

- Material resistente com bordado especial

- Sistema de ajuste snapback","",True,2,5,True,0,20.25,40.5,30.38,0,0,28/12/2018,28/12/2030,False,False,"bonebrancofrente.PNG","BoneBranco.PNG","bonebrancolado.PNG","","","","Vitafor","2106.90.30","","",255,,2,"vitafor",01/01/1970,60,30,48577,"bone.html","bone,vitafor,bordado,preto,bones",3,3,"",True,False,19,12,21,"","Vitafor","Boné Vitafor Bordado Branco","bone-vitafor-bordado-branco","","Sua aba reta é cheia de estilo e protege o rosto do sol. O V bordado na parte superior é em auto relevo. Muito resistente, conta com costuras reforçad","625"
"A","- Acessórios",5495475,"BN3P","Boné Vitafor Bordado Preto",0.3,"Agora você pode levar na cabeça o Snapback Vitafor Cap é o boné que faz a cabeça do top atleta do ringue José Aldo.
","A Vitafor mais uma vez mostrando toda sua evolução, estilo, conforto e beleza resumem bem esse produto.

O sistema de ajuste vai lhe proporcionar conforto, veste com perfeição qualquer tamanho de cabeça. 


Características do produto:

- Material resistente com bordado especial

- Sistema de ajuste snapback","",True,0,5,True,0,20.25,40.5,30.38,0,0,28/12/2018,28/12/2030,False,False,"bonepretofrente.PNG","bonepretofrente.PNG","","","","","Vitafor","2106.90.30","","",255,,2,"vitafor",01/01/1970,60,30,48577,"bone.html","bone,vitafor,bordado,preto,bones",3,3,"",True,False,19,12,21,"","Vitafor","Boné Vitafor Bordado Preto","bone-vitafor-bordado-preto","","Sua aba reta é cheia de estilo e protege o rosto do sol. O V bordado na parte superior é em auto relevo. Muito resistente, conta com costuras reforçad","625"
"A","- Acessórios",5495476,"BN3V","Boné Vitafor Bordado Vermelho",0.3,"Agora você pode levar na cabeça o Snapback Vitafor Cap é o boné que faz a cabeça do top atleta do ringue José Aldo.
","A Vitafor mais uma vez mostrando toda sua evolução, estilo, conforto e beleza resumem bem esse produto.

O sistema de ajuste vai lhe proporcionar conforto, veste com perfeição qualquer tamanho de cabeça. 


Características do produto:

- Material resistente com bordado especial

- Sistema de ajuste snapback","",True,2,5,True,0,20.25,40.5,30.38,0,0,28/12/2018,28/12/2030,False,False,"bonevermelhofrente.PNG","bonevermelhofrente.PNG","bonevermelhofrente.PNG","","","","Vitafor","2106.90.30","","",255,,2,"vitafor",01/01/1970,60,30,48577,"bone.html","bone,vitafor,bordado,preto,bones",3,3,"",True,False,19,12,21,"","Vitafor","Boné Vitafor Bordado Vermelho","bone-vitafor-bordado-vermelho","","Sua aba reta é cheia de estilo e protege o rosto do sol. O V bordado na parte superior é em auto relevo. Muito resistente, conta com costuras reforçad","625"
"A","- Acessórios",5762939,"CQ2F","Coqueteleira 400ml 2 Divisões Vitafor",0.3,"A Coqueteleira da Vitafor, você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipercalóricos , colágeno hidrolisado, dentre outros.","","",True,0,5,True,0,10.8,21.6,16.2,0,0,28/12/2018,28/12/2030,False,False,"Coqueteleira-Rosa300x.png","Coqueteleira-Rosa.png","","","","","Vitafor","2106.90.30","7898959478499","",255,,2,"vitafor",01/01/1970,60,30,48577,"","coqueteleira,garrafa,garafinha,coqetelera,blender,vitafor",3,3,"7898959478499",True,False,10,10,16,"","Vitafor","Coqueteleira 400ml 2 Divisões Vitafor","coqueteleira-400ml-2-divisoes-vitafor","","A Coqueteleira da Vitafor, você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipe","625"
"A","- Acessórios",5536774,"CQ3C-SVP","Coqueteleira 400ml Edição Limitada 3 Divisões Vitafor",0.3,"A Coqueteleira da Vitafor, você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipercalóricos , colágeno hidrolisado, dentre outros.","","",True,0,5,True,0,11.7,23.4,17.55,0,0,28/12/2018,28/12/2030,False,False,"coqueteleira1.PNG","coqueteleira1.PNG","coqueteleira1.PNG","","","","Vitafor","2106.90.30","7898959478222","",255,,2,"vitafor",01/01/1970,60,30,48577,"","coqueteleira,garrafa,garafinha,coqetelera,blender,vitafor",3,3,"7898959478222",True,False,10,10,16,"","Vitafor","Coqueteleira 400ml Edição Limitada 3 Divisões Vitafor","coqueteleira-edicao-limitada-3-divisoes-vitafor","","A Coqueteleira da Vitafor, você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipe","625"
"A","- Acessórios",6132653,"MAXCOQ3","Coqueteleira Preta Max Titanium",0.25,"","","",True,4,0,True,0,0,15,14,0,0,01/07/2018,31/07/2020,False,False,"CoqueteleiraMAXpreta.PNG","CoqueteleiraMAXpreta.PNG","CoqueteleiraMAXpreta.PNG","","","","Max Titanium","","","",0,,2,"Max Titanium",,0,0,48577,"","Coqueteleira Preta Max Tiranium",3,3,"7898994451242",True,False,15,25,15,"","Max Titanium","Coqueteleira Preta Max Tiranium","coqueteleira-preta-max-tiranium","","","92848"
"A","- Acessórios",6132655,"MAXCOQ1","Coqueteleira Rosa Max Titanium",0.25,"","","",True,1,0,True,0,0,15,14,0,0,01/07/2018,31/07/2021,False,False,"CoqueteleiraMAXrosa.PNG","CoqueteleiraMAXrosa.PNG","CoqueteleiraMAXrosa.PNG","","","","Max Titanium","","7898994451235","",0,,2,"Max Titanium",,0,0,48577,"","Coqueteleira Rosa Max Tiranium",3,3,"7898994451235",True,False,15,25,15,"","Max Titanium","Coqueteleira Rosa Max Tiranium","coqueteleira-rosa-max-tiranium","","",""
"A","- Acessórios",5190195,"SQ750","Squeze Esportivo Vitafor",0.16,"Com Squeeze da Vitafor você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipercal","","",False,12,5,True,0,4.9,9,7.2,0,0,28/12/2018,28/12/2030,False,False,"squeeze.PNG","squeeze.PNG","squeeze.PNG","","","","Vitafor","2106.90.30","","",255,,2,"vitafor",01/01/1970,60,30,48577,"","squeze,esportivo,vitafor",3,3,"7898959478222",False,False,10.5,10.5,18.5,"","Vitafor","Squeze Esportivo Vitafor","squeze-esportivo-vitafor","","Com Squeeze da Vitafor você pode obter seus suplementos muito mais diluídos! É ideal para a diluição de suplementos em pó, como whey protein, hipercal","625"
"A","- Acido Graxo Essencial",6026547,"300033","Alpha Care Óleo de Linhaça Prensado 60 Cáps de 1000mg Vital Âtman",0.05,"Para ser eficaz e manter a atividade biológica dos ômegas, o óleo de linhaça deve ser obtido por extração a frio. Nestas cápsulas, você encontra praticidade e excelência em qualidade.","","",True,17,0,True,0,37.59,75.18,72.4,0,0,01/04/2018,30/04/2020,False,False,"300033.png","300033.png","300033.png","","","","Vital Âtman","2106.90.30","7898020420020","",240,,2,"Vital Âtman,Essential",,0,30,48577,"AlphaCareVitalAtman.HTML","alpha care,oleo de linhaça,1000mg,vital atman,vitalatman",3,3,"7898020420020",True,False,11,1,11,"","Vital Âtman","Alpha Care Óleo de Linhaça Prensado 60 Cáps de 1000mg Vital Âtman","alpha-care-oleo-de-linhaca-60-caps-vital-atman","","O Alpha Care é um encapsulado de óleo de linhaça, 100% prensado a frio. Uma excelente e rica fonte de ômega-3 de origem vegetal com extraordinária procedência.","92864,92857,92858,92859,92860,92861,92862,92863,92865,92854"
"A","- Acido Graxo Essencial",6034655,"300033K3","Alpha Care Óleo de Linhaça Prensado 60 Cáps de 1000mg Vital Âtman - 3 Unid",0.3,"Para ser eficaz e manter a atividade biológica dos ômegas, o óleo de linhaça deve ser obtido por extração a frio. Nestas cápsulas, você encontra praticidade e excelência em qualidade.","","",True,5,0,True,0,37.59,202.99,195.94,0,0,01/04/2018,30/04/2020,False,False,"3kAlphaCare.png","3kAlphaCare.png","3kAlphaCare.png","","","","Vital Âtman","2106.90.30","7898020420020","",200,,2,"Vital Âtman,Essential",,60,30,48577,"AlphaCareVitalAtman.HTML","alpha care,oleo de linhaça,1000mg,vital atman,vitalatman",3,3,"7898020420020",True,False,11,33,33,"","Vital Âtman","Alpha Care Óleo de Linhaça Prensado 60 Cáps de 1000mg Vital Âtman - 3 Unid","alpha-care-oleo-de-linhaca-60-caps-vital-atman-3-unid","6026547,6034655,6026546,6034654,5285208","","92864,92857,92858,92859,92860,92861,92862,92863,92865,92854"
