Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
A,- Pasta de Amendoim,5811775,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",1.1,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,13,5,True,0,13.28,17,15.3,0,0,01/11/2017,04/03/2030,False,False,pote-integral-grande.png,pote-integral-grande.png,pote-integral-grande.png,,,,Mandubim,2007.99.90,7898126320859,,225,,2,,23/04/2018,60,30,48577,,"Pasta de Amendoim,Integral,1,02kg,Mandubim",3,3,7898126320859,True,False,13,13,13,,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",pasta-de-amendoim-integral-1,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5811774,5352,Pasta de Amendoim com Whey Protein e Avelã 450g Mandubim,0.55,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,6,5,True,0,28.27,36.8,35,0,0,01/11/2017,04/03/2030,False,False,pasta-de-amendoim-whey-protein.jpg,pasta-de-amendoim-whey-protein.jpg,pasta-de-amendoim-whey-protein.jpg,,,,Mandubim,2007.99.90,7898126320927,,255,,2,,31/08/2019,60,30,48577,,"Pasta de Amendoim,Whey Protein,Avelã,450g,Mandubim",3,3,7898126320927,True,False,10,11,10,,5352,Pasta de Amendoim com Whey Protein e Avelã 450g Mandubim,pasta-de-amendoim-whey,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5811776,5898,"Pasta de Amendoim com Granulado 1,02kg Mandubim",1,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,33,5,True,0,13.28,17,15.3,0,0,01/11/2017,04/03/2030,False,False,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,,,,Mandubim,2007.99.90,7898126320941,,220,,2,,20/04/2018,60,30,48577,,"pasta de amendoim,granulado,1,02kg,mandubim",3,3,7898126320941,True,False,13,13,13,,5898,"Pasta de Amendoim com Granulado 1,02kg Mandubim",pasta-de-amendoim-granulado-1,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925047,4552K2,2 unid - Pasta de Amendoim Granulado s açúcar 450g Mandubim,1.2,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,0,5,True,0,13.2,26.4,30.5,0,0,17/02/2018,04/03/2030,False,False,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,,,,Mandubim,2007.99.90,7898126320873,,219,,2,,27/04/2018,60,30,48577,,"pasta de amendoim,granulado,1,02kg,mandubim",3,3,7898126320873,True,False,15,26,26,,4552,"Pasta de Amendoim com Granulado 1,02kg Mandubim",pasta-de-amendoim-granulado-2,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925046,4552K3,3 unid - Pasta de Amendoim Granulado s açúcar 450g Mandubim,1.8,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,0,5,True,0,19.8,39.6,45.8,0,0,17/02/2018,04/03/2030,False,False,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,AmendoimGranulado1Kg.png,,,,Mandubim,2007.99.90,7898126320873,,219,,2,,27/04/2018,60,30,48577,,"pasta de amendoim,granulado,1,02kg,mandubim",3,3,7898126320873,True,False,15,26,26,,4552,"Pasta de Amendoim com Granulado 1,02kg Mandubim",pasta-de-amendoim-granulado-3,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925048,4600K12,"12 unid - Pasta de Amendoim Integral 1,02kg Mandubim",15,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,2,5,True,6,159.36,187.1,187.1,0,0,17/02/2018,04/03/2030,False,False,pote-integral-grande.png,pote-integral-grande.png,pote-integral-grande.png,,,,Mandubim,2007.99.90,7898126320859,,224,,2,,23/04/2018,60,30,48577,,"Pasta de Amendoim,Integral,1,02kg,Mandubim",3,3,7898126320859,True,False,15,26,26,,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",pasta-de-amendoim-integral-12,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925051,4600K2,"2 unid - Pasta de Amendoim Integral 1,02kg Mandubim",2.4,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,2,5,True,1,26.56,33.2,33.2,0,0,17/02/2018,04/03/2030,False,False,pote-integral-grande.png,pote-integral-grande.png,pote-integral-grande.png,,,,Mandubim,2007.99.90,7898126320859,,224,,2,,23/04/2018,60,30,48577,,"Pasta de Amendoim,Integral,1,02kg,Mandubim",3,3,7898126320859,True,False,15,26,26,,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",pasta-de-amendoim-integral-2,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925050,4600K3,"3 unid - Pasta de Amendoim Integral 1,02kg Mandubim",4,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,2,5,True,2,39.84,49.4,49.4,0,0,17/02/2018,04/03/2030,False,False,pote-integral-grande.png,pote-integral-grande.png,pote-integral-grande.png,,,,Mandubim,2007.99.90,7898126320859,,224,,2,,23/04/2018,60,30,48577,,"Pasta de Amendoim,Integral,1,02kg,Mandubim",3,3,7898126320859,True,False,15,26,26,,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",pasta-de-amendoim-integral-3,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5925049,4600K6,"6 unid - Pasta de Amendoim Integral 1,02kg Mandubim",7,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,,,True,2,5,True,4,79.68,95.87,95.87,0,0,17/02/2018,04/03/2030,False,False,pote-integral-grande.png,pote-integral-grande.png,pote-integral-grande.png,,,,Mandubim,2007.99.90,7898126320859,,224,,2,,23/04/2018,60,30,48577,,"Pasta de Amendoim,Integral,1,02kg,Mandubim",3,3,7898126320859,True,False,15,26,26,,4600,"Pasta de Amendoim Integral 1,02kg Mandubim",pasta-de-amendoim-integral-6,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
A,- Pasta de Amendoim,5692035,MAND01,Pasta de Amendoim c/ Mel Orgânico 450g Mandubim,0.5,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar nem Glúten.,"Produto Rico em Proteína e baixo carboidrato.
 
Alem de tudo, o amendoim é rico em aminoácidos, vitamina E e ácidos graxos poliinsaturados.
 
É ideal para todos os tipos de dietas, seja hipercalórica ou hipocalórica. 
 
Benefícios da Pasta de Amendoim Integral:
 
- Sem colesterol como todo produto de origem vegetal 
- Contem alto teor de vitamina E, poderoso antioxidante
- Livre de gordura trans
- Não contém glúten
- Não contém açúcar
- Ideal para todo tipo de dieta
 
Importante: A validade das pastas é de 6 meses após a data de fabricação.",,True,12,5,True,0,9.28,12.5,12.05,0,0,19/10/2017,04/03/2030,True,True,MAND01.PNG,MAND01P.PNG,MAND01P.PNG,,,,Mandubim,2007.99.90,7898126320866,,245,,2,,27/04/2018,60,30,48577,,"pasta de amendoim,mel,mel organico,mandubim",3,3,7898126320866,True,False,10,11,10,,4550,Pasta de Amendoim c/ Mel Orgânico 500g Mandubim,pasta-de-amendoim-c-mel-organico-500g-mandubim,5692033,A Pasta de Amendoim Integral Mandubim é produzida com matéria-prima de qualidade e grãos de amendoim selecionados. Ela não contém adição de açúcar,92847
